No	文番号	英文	日訳	キー文法1	キー文法2	キー文法3
1	1-H-1	Here we go!	さあ、行こう！/始めよう！	(口語表現)		
2	1-H-2	What do you like?	あなたは何が好きですか？	疑問詞(What)	doの疑問文	
3	1-H-3	My name is Kotaro.	私の名前はコウタロウです。	be動詞(is)		
4	1-H-4	Hello.	こんにちは。	(挨拶)		
5	1-H-5	Color: blue	色：青	(名詞)		
6	1-H-6	Food: rice balls	食べ物：おにぎり	(名詞)		
7	1-H-7	Season: I like fall.	季節：私は秋が好きです。	like		
8	1-H-8	My Favorite Things: music, animals, fireworks	私の好きなもの：音楽、動物、花火	(名詞)		
9	1-H-9	This is me!	これが私です！	be動詞(is)		
10	1-H-10	My birthday is April 2.	私の誕生日は4月2日です。	be動詞(is)		
11	1-H-11	I'm 13 years old.	私は13歳です。	be動詞(am)	~ years old	
12	1-H-12	I live in Yokohama.	私は横浜に住んでいます。	live in ~		
13	1-H-13	I can play the trumpet.	私はトランペットを演奏することができます。	can		
1	1-1-1	I'm lost.	道に迷いました。	be動詞(am)		
2	1-1-2	Thanks.	ありがとう。	(感謝)		
3	1-1-3	I'm Tina.	私はティナです。	be動詞(am)		
4	1-1-4	I'm a student there.	私はそこの学生です。	be動詞(am)		
5	1-1-5	I'm Eri.	私はエリです。	be動詞(am)		
6	1-1-6	Nice to meet you.	はじめまして。	(挨拶)		
7	1-1-7	I'm Kotaro.	僕はコウタロウです。	be動詞(am)		
8	1-1-8	Call me Kota.	僕をコウタと呼んでください。	call A B	命令文	
9	1-1-9	I'm from Japan.	私は日本出身です。	be動詞(am)	I'm from ~	
1	1-2-1	Look!	見て！	命令文		
2	1-2-2	Beautiful.	きれい。	(感嘆)		
3	1-2-3	I like spring.	私は春が好きです。	like		
4	1-2-4	I don't like spring.	私は春が好きではありません。	do not (don't)		
5	1-2-5	Why not?	どうして？	(口語表現)		
6	1-2-6	Achoo!	ハクション！	(擬音語)		
1	1-3-1	Hello.	こんにちは。	(挨拶)		
2	1-3-2	I'm Tina.	私はティナです。	be動詞(am)		
3	1-3-3	I'm from New York.	私はニューヨーク出身です。	be動詞(am)	I'm from ~	
4	1-3-4	I like music and sports.	私は音楽とスポーツが好きです。	like	and	
5	1-3-5	I can swim and play the drums.	私は泳ぐこととドラムを演奏することができます。	can	and	
6	1-3-6	I can't play the drums, but I can play the piano.	私はドラムを演奏することはできませんが、ピアノを弾くことはできます。	can't (cannot)	but	can
7	1-3-7	Cool!	すごい！	(感嘆)		
1	1-G-1	Hello.	こんにちは。	(挨拶)		
2	1-G-2	My name is ...	私の名前は...です。	be動詞(is)		
3	1-G-3	All About Me	私のすべて	(タイトル)		
4	1-G-4	Color	色	(項目)		
5	1-G-5	Food	食べ物	(項目)		
6	1-G-6	Season	季節	(項目)		
7	1-G-7	I like ...	私は...が好きです。	like		
8	1-G-8	My Favorite Things	私の好きなもの	(タイトル)		
9	1-G-9	This is me!	これが私です！	be動詞(is)		
10	1-G-10	My birthday is ...	私の誕生日は...です。	be動詞(is)		
11	1-G-11	I'm ... years old.	私は...歳です。	be動詞(am)	~ years old	
12	1-G-12	I live in ...	私は...に住んでいます。	live in ~		
13	1-G-13	I can ...	私は...ができます。	can		
1	2-H-1	Do you do club activities or committee activities?	あなたは部活動や委員会活動をしていますか？	doの疑問文	or	
2	2-H-2	Also, are there any activities you are interested in?	また、何か興味のある活動はありますか？	Are there ~?	any	be interested in ~
3	2-H-3	Honcho J.H.S. Brass Band	本中中学校吹奏楽部	(団体名)		
4	2-H-4	KENDO!	剣道！	(団体名)		
5	2-H-5	New Members Welcome	新メンバー歓迎	(勧誘文)		
6	2-H-6	Drama Club	演劇部	(団体名)		
7	2-H-7	Science Club (On Tuesdays)	科学部（火曜日）	(団体名)		
8	2-H-8	Join us!	私たちに加わって！	命令文		
9	2-H-9	Do you like ART?	あなたは美術が好きですか？	doの疑問文	like	
10	2-H-10	Swim Team (On Mondays and Thursdays)	水泳チーム（月曜日と木曜日）	(団体名)		
11	2-H-11	BASKETBALL TEAM	バスケットボールチーム	(団体名)		
12	2-H-12	TABLE TENNIS TEAM	卓球チーム	(団体名)		
13	2-H-13	Broadcasting Committee	放送委員会	(団体名)		
1	2-1-1	After classes:	授業のあと：	(場面)		
2	2-1-2	Hello.	こんにちは。	(挨拶)		
3	2-1-3	Are you new students?	あなたたちは新入生ですか？	be動詞の疑問文		
4	2-1-4	Yes.	はい。	(応答)		
5	2-1-5	Come in.	お入りなさい。	(命令文)		
6	2-1-6	Here's the brass band.	こちらが吹奏楽部です。	Here is ~		
7	2-1-7	Thank you, Mr. Utada.	ありがとうございます、宇田先生。	(感謝)		
1	2-2-1	Do you play an instrument?	あなたは何か楽器を演奏しますか？	doの疑問文		
2	2-2-2	Yes, I do.	はい、します。	(応答)		
3	2-2-3	I play the trumpet a little.	私はトランペットを少し演奏します。	a little		
4	2-2-4	We usually practice on Mondays, Wednesdays, and Fridays.	私たちはたいてい月曜日、水曜日、金曜日に練習します。	usually (頻度)	on (曜日)	
1	2-3-1	In the drama club:	演劇部にて：	(場面)		
2	2-3-2	What's this?	これは何ですか？	疑問詞(What)		
3	2-3-3	Oh, it's a tongue twister.	おお、それは早口言葉です。	be動詞(is)		
4	2-3-4	Can you read it?	あなたはそれを読むことができますか？	canの疑問文		
5	2-3-5	Can you say it?	あなたはそれを言うことができますか？	canの疑問文		
6	2-3-6	No, I can't.	いいえ、できません。	(応答)		
7	2-3-7	Repeat after me.	私の後に繰り返してください。	命令文	Repeat after ~	
1	2-G-1	Do you like...?	あなたは...が好きですか？	doの疑問文	like	
2	2-G-2	Are you interested in ...?	あなたは...に興味がありますか？	be動詞の疑問文	be interested in ~	
3	2-G-3	Can you play ...?	あなたは...を演奏できますか？/（スポーツが）できますか？	canの疑問文		
4	2-G-4	Come and join our team!	来て私たちのチームに加わってください！	命令文	and	
5	2-G-5	This is my school.	これが私の学校です。	be動詞(is)		
6	2-G-6	What do you do in your break time?	あなたは休み時間に何をしますか？	疑問詞(What)	doの疑問文	in one's break time
1	3-H-1	What do you do during the summer vacation every year?	あなたは毎年夏休みの間に何をしますか？	疑問詞(What)	doの疑問文	
2	3-H-2	What do you want to do this year?	あなた今年はなにをしたいですか？	疑問詞(What)	want to do	
3	3-H-3	see the fireworks	花火を見る	(動詞句)		
4	3-H-4	do my homework	宿題をする	(動詞句)		
5	3-H-5	climb mountains	山に登る	(動詞句)		
6	3-H-6	go camping	キャンプに行く	(動詞句)		
7	3-H-7	go to the beach	ビーチに行く	(動詞句)		
8	3-H-8	visit my grandparents	祖父母を訪ねる	(動詞句)		
9	3-H-9	go to the library	図書館に行く	(動詞句)		
10	3-H-10	go to a summer festival	夏祭りに行く	(動詞句)		
11	3-H-11	try yo-yo fishing	ヨーヨー釣りを試す	(動詞句)		
12	3-H-12	eat watermelon	スイカを食べる	(動詞句)		
