No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	1	1-H-1	Here we go!	さあ、始めよう！	[口語表現]			
2	1	1-H-6	rice ball	おにぎり	[句]			
3	1	1-H-8	firework	花火	[句]			
4	1	1-H-11	~ years old	〜歳です	[句]			
5	1	1-H-12	live in ~	〜に住んでいる	[句]			
6	1	1-1-6	Nice to meet you.	はじめまして。	[口語表現]			
7	1	1-1-8	Call me ~	私を〜と呼んでください。	[構文]			
8	1	1-1-9	I'm from ~	私は〜出身です。	[口語表現]			
9	1	1-2-5	Why not?	どうして？	[口語表現]			
10	1	1-3-3	I'm from ~	私は〜出身です。	[口語表現]			
11	1	1-3-3	New York	ニューヨーク	[固有名詞][地名]			
12	1	1-G-11	~ years old	〜歳です	[句]			
13	1	1-G-12	live in ~	〜に住んでいる	[句]			
