No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	1	1-H-1	Here we go!	さあ、行こう！/始めよう！	(口語表現)			
2	1	1-H-2	What do you like?	あなたは何が好きですか？	疑問詞(What)	doの疑問文		
3	1	1-H-3	My name is Kotaro.	私の名前はコウタロウです。	be動詞(is)			
4	1	1-H-4	Hello.	こんにちは。	(挨拶)			
5	1	1-H-5	Color: blue	色：青	(名詞)			
6	1	1-H-6	Food: rice balls	食べ物：おにぎり	(名詞)			
7	1	1-H-7	Season: I like fall.	季節：私は秋が好きです。	like			
8	1	1-H-8	My Favorite Things: music, animals, fireworks	私の好きなもの：音楽、動物、花火	(名詞)			
9	1	1-H-9	This is me!	これが私です！	be動詞(is)			
10	1	1-H-10	My birthday is April 2.	私の誕生日は4月2日です。	be動詞(is)			
11	1	1-H-11	I'm 13 years old.	私は13歳です。	be動詞(am)	~ years old		
12	1	1-H-12	I live in Yokohama.	私は横浜に住んでいます。	live in ~			
13	1	1-H-13	I can play the trumpet.	私はトランペットを演奏することができます。	can			
14	1	1-1-1	I'm lost.	道に迷いました。	be動詞(am)			
15	1	1-1-2	Thanks.	ありがとう。	(感謝)			
16	1	1-1-3	I'm Tina.	私はティナです。	be動詞(am)			
17	1	1-1-4	I'm a student there.	私はそこの学生です。	be動詞(am)			
18	1	1-1-5	I'm Eri.	私はエリです。	be動詞(am)			
19	1	1-1-6	Nice to meet you.	はじめまして。	(挨拶)			
20	1	1-1-7	I'm Kotaro.	僕はコウタロウです。	be動詞(am)			
21	1	1-1-8	Call me Kota.	僕をコウタと呼んでください。	call A B	命令文		
22	1	1-1-9	I'm from Japan.	私は日本出身です。	be動詞(am)	I'm from ~		
23	1	1-2-1	Look!	見て！	命令文			
24	1	1-2-2	Beautiful.	きれい。	(感嘆)			
25	1	1-2-3	I like spring.	私は春が好きです。	like			
26	1	1-2-4	I don't like spring.	私は春が好きではありません。	do not (don't)			
27	1	1-2-5	Why not?	どうして？	(口語表現)			
28	1	1-2-6	Achoo!	ハクション！	(擬音語)			
29	1	1-3-1	Hello.	こんにちは。	(挨拶)			
30	1	1-3-2	I'm Tina.	私はティナです。	be動詞(am)			
31	1	1-3-3	I'm from New York.	私はニューヨーク出身です。	be動詞(am)	I'm from ~		
32	1	1-3-4	I like music and sports.	私は音楽とスポーツが好きです。	like	and		
33	1	1-3-5	I can swim and play the drums.	私は泳ぐこととドラムを演奏することができます。	can	and		
34	1	1-3-6	I can't play the drums, but I can play the piano.	私はドラムを演奏することはできませんが、ピアノを弾くことはできます。	can't (cannot)	but	can	
35	1	1-3-7	Cool!	すごい！	(感嘆)			
36	1	1-G-1	Hello.	こんにちは。	(挨拶)			
37	1	1-G-2	My name is ...	私の名前は...です。	be動詞(is)			
38	1	1-G-3	All About Me	私のすべて	(タイトル)			
39	1	1-G-4	Color	色	(項目)			
40	1	1-G-5	Food	食べ物	(項目)			
41	1	1-G-6	Season	季節	(項目)			
42	1	1-G-7	I like ...	私は...が好きです。	like			
43	1	1-G-8	My Favorite Things	私の好きなもの	(タイトル)			
44	1	1-G-9	This is me!	これが私です！	be動詞(is)			
45	1	1-G-10	My birthday is ...	私の誕生日は...です。	be動詞(is)			
46	1	1-G-11	I'm ... years old.	私は...歳です。	be動詞(am)	~ years old		
47	1	1-G-12	I live in ...	私は...に住んでいます。	live in ~			
48	1	1-G-13	I can ...	私は...ができます。	can			
