No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	4	4-H-1	do	v	〜しますか？	(疑問文を作る)		
2	4	4-H-1	you	prn	あなたは			
3	4	4-H-1	have	v	〜がいますか	〜を持っている		
4	4	4-H-1	someone	prn	誰か			
5	4	4-H-1	want	v	〜したいと思う			
6	4	4-H-1	introduce	v	〜を紹介する			
7	4	4-H-1	to	prep	〜に			
8	4	4-H-1	your	prn	あなたの			
9	4	4-H-1	friend	n	友達			
10	4	4-H-1	or	conj	または			
11	4	4-H-1	teacher	n	先生			
12	4	4-H-2	who	prn	誰			
13	4	4-H-2	be	v	〜です	(三人称単数現在)is		
14	4	4-H-2	it	prn	それは			
15	4	4-H-3	our	prn	私たちの			
16	4	4-H-3	newsletter	n	広報、会報			
17	4	4-H-3	science	n	科学			
18	4	4-H-3	Japanese	n	国語			
19	4	4-H-3	P.E.	n	体育			
20	4	4-H-3	art	n	美術			
21	4	4-1-1	I	prn	私は	(短縮形)I'm		
22	4	4-1-1	be	v	〜です	(一人称単数現在)am		
23	4	4-1-5	this	prn	こちらは			
24	4	4-1-5	be	v	〜です	(三人称単数現在)is	(短縮形)She's, He's, That's	
25	4	4-1-5	Ms.	n	〜先生、〜さん（女性）			
26	4	4-1-6	she	prn	彼女は			
27	4	4-1-6	our	prn	私たちの			
28	4	4-1-6	English	n	英語			
29	4	4-1-6	teacher	n	先生			
30	4	4-1-8	too	adv	〜もまた			
31	4	4-1-9	that	prn	あちらは			
32	4	4-1-9	Mr.	n	〜先生、〜さん（男性）			
33	4	4-1-10	he	prn	彼は			
34	4	4-1-10	P.E.	n	体育			
35	4	4-1-11	strict	adj	厳しい			
36	4	4-1-12	but	conj	しかし			
37	4	4-1-12	popular	adj	人気のある			
38	4	4-1-13	his	prn	彼の			
39	4	4-1-13	class	n	授業			
40	4	4-1-13	fun	adj	面白い			
41	4	4-2-1	who	prn	誰	(短縮形)who's		
42	4	4-2-1	be	v	〜です	(三人称単数現在)is	(短縮形)he's	
43	4	4-2-1	that	prn	あれは			
44	4	4-2-2	maybe	adv	たぶん			
45	4	4-2-2	he	prn	彼は			
46	4	4-2-2	a	art	一人の			
47	4	4-2-2	new	adj	新しい			
48	4	4-2-2	student	n	生徒			
49	4	4-2-2	in	prep	〜で、〜の中に			
50	4	4-2-2	class	n	クラス			
51	4	4-2-3	cool	adj	かっこいい			
52	4	4-2-3	good	adj	上手な、良い			
53	4	4-2-3	basketball	n	バスケットボール			
54	4	4-2-3	player	n	選手			
55	4	4-2-4	yes	adv	はい			
56	4	4-2-5	do	v	〜しますか？	(疑問文を作る)		
57	4	4-2-5	you	prn	あなたは			
58	4	4-2-5	want	v	〜したいと思う			
59	4	4-2-5	meet	v	〜に会う			
60	4	4-2-5	him	prn	彼を、彼に			
61	4	4-2-6	ask	v	〜に尋ねる			
62	4	4-3-1	and	conj	〜と			
63	4	4-3-1	be	v	〜です、〜にいます	(複数現在)are		
64	4	4-3-1	in	prep	〜の中に			
65	4	4-3-1	front	n	前			
66	4	4-3-1	of	prep	〜の			
67	4	4-3-1	the	art	その			
68	4	4-3-1	school	n	学校			
69	4	4-3-1	building	n	建物			
70	4	4-3-2	be	v	〜ですか？	(be動詞の疑問文)is	(否定短縮形)isn't	
71	4	4-3-2	this	prn	これは			
72	4	4-3-2	our	prn	私たちの			
73	4	4-3-2	classroom	n	教室			
74	4	4-3-3	no	adv	いいえ			
75	4	4-3-3	it	prn	それは	(短縮形)it's		
76	4	4-3-3	over	adv	向こうへ			
77	4	4-3-3	here	adv	ここに			
78	4	4-3-4	I	prn	私は	(短縮形)I'm		
79	4	4-3-5	he	prn	彼は	(短縮形)he's		
80	4	4-3-5	your	prn	あなたの			
81	4	4-3-5	classmate	n	クラスメート			
82	4	4-3-6	yes	adv	はい			
83	4	4-3-7	neighbor	n	隣人			
84	4	4-G-1	we	prn	私たちは			
85	4	4-G-1	want	v	〜したいと思う			
86	4	4-G-1	introduce	v	〜を紹介する			
87	4	4-G-1	Mr.	n	〜先生、〜さん（男性）			
88	4	4-G-2	he	prn	彼は	(短縮形)he's		
89	4	4-G-2	be	v	〜です	(三人称単数現在)is		
90	4	4-G-2	our	prn	私たちの			
91	4	4-G-2	math	n	数学			
92	4	4-G-2	teacher	n	先生			
93	4	4-G-4	good	adj	上手な			
94	4	4-G-4	at	prep	〜が			
95	4	DL-1	whose	prn	誰の、誰のもの			
96	4	DL-1	pencil	n	鉛筆			
97	4	DL-1	case	n	ケース、入れ物			
98	4	DL-1	be	v	〜です	(三人称単数現在)is	(短縮形)it's	
99	4	DL-1	that	prn	あれは			
100	4	DL-3	it	prn	それは			
101	4	DL-3	under	prep	〜の下に			
102	4	DL-3	your	prn	あなたの			
103	4	DL-3	desk	n	机			
104	4	DL-4	yours	prn	あなたのもの			
105	4	DL-5	no	adv	いいえ			
106	4	DL-5	not	adv	〜ない			
107	4	DL-5	mine	prn	私のもの			
108	4	DL-7	do	v	〜しますか？	(疑問文を作る)		
109	4	DL-7	have	v	〜を持っている			
110	4	DL-7	any	prn	（疑問文で）何か			
111	4	DL-7	idea	n	考え、アイデア			
112	4	DL-8	well	adv	ええと			
113	4	DL-8	maybe	adv	たぶん			
114	4	DL-9	ask	v	〜に尋ねる			
115	4	DL-9	him	prn	彼を、彼に			
116	4	AG2-2	he	prn	彼は	(短縮形)he's		
117	4	AG2-2	our	prn	私たちの			
118	4	AG2-2	teacher	n	先生			
119	4	AG2-3	his	prn	彼の			
120	4	AG2-3	class	n	授業			
121	4	AG2-3	fun	adj	面白い			
